source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,candidate_rank
إِجَبَّار,2ijbaar,2ijbaar,True,9,7,0-9,0-9,3
بِدْوِي,bdawi,bidwi,False,7,5,0-9,0-9,1
تَسَلَّى,tsalla,tsalla,True,8,6,0-9,0-9,2
يزَهِّق,yuzhiq,yizhaq,False,7,6,0-9,0-9,3
يغُبّ,yghubb,yghubb,True,5,6,0-9,0-9,2
أُلُم,2allam,2allim,False,5,6,0-9,0-9,5
يَوقِت,ywaqqit,ywaqqit,True,6,7,0-9,0-9,5
دَبَاسِة,dabbaase,dabbaase,True,8,8,0-9,0-9,5
فَغِّر,faghar,faghar,True,6,6,0-9,0-9,3
جَشَّع,jashi3,jasha3,False,6,6,0-9,0-9,3
يَاريت عْجَاب,yaa reet 3aajib,yaa reet 3aajib,True,13,15,10-19,10-19,3
يْسَلِّك,ysallik,ysallik,True,8,7,0-9,0-9,5
تَمْسَخ,tmaskhar,tmaskhar,True,7,8,0-9,0-9,3
أَنْبَوب,2unbuub,2unbuub,True,8,7,0-9,0-9,3
اِتْصَحْرَم,2it7asram,2it7armas,False,11,9,10-19,0-9,5
يِتْكَنْبَر,yitkarnab,yitkarnab,True,11,9,10-19,0-9,2
عِتْبَان,3atbaan,3atbaan,True,8,7,0-9,0-9,3
زَحِق,za7aq,za7aq,True,5,5,0-9,0-9,5
مِجْرُورَة,majruura,majruura,True,10,8,10-19,0-9,4
اِتَدْسَك,2iddaskar,2iddaska7,False,9,9,0-9,0-9,5
خَدَرَان,khadaraan,khadaraan,True,8,9,0-9,0-9,5
اِسْلَامِي,2islaami,2islaami,True,10,8,10-19,0-9,1
وَحْشِنِة,wa7shane,wa7shane,True,9,8,0-9,0-9,4
أُكْوَان,2akwaan,2akwaan,True,8,7,0-9,0-9,4
جِبَار,jabbaar,jbaar,False,6,7,0-9,0-9,5
جُنْزَرِي,janziir,janziir,True,9,7,0-9,0-9,5
فَود,food,food,True,4,4,0-9,0-9,1
جَرْبَنِيِّة,djarabandiyye,jarbiine,False,12,13,10-19,10-19,3
يُعْطُس,y3attis,yu3tus,False,7,7,0-9,0-9,4
نَمِّى,namma,namma,True,6,5,0-9,0-9,4
يبَنْخِس,ybakhnis,ybakhnis,True,8,8,0-9,0-9,2
سُمَّيك,smiik,smiik,True,7,5,0-9,0-9,4
تْيَوَّس,tyuus,tyuus,True,8,5,0-9,0-9,1
اِبُن نَاس,2ibin naas,2ibin naas,True,10,10,10-19,10-19,5
سَلَم,sallam,sallam,True,5,6,0-9,0-9,3
سِحَابِة,sa7aabe,sa7aabe,True,8,7,0-9,0-9,5
سْفِير,safiir,saffiir,False,6,6,0-9,0-9,2
شَرَّش,shirish,sharrish,False,6,7,0-9,0-9,2
الله لَا يكَسِّبَك,2alla laa kasbak,2alla laa kasbak,True,18,16,10-19,10-19,1
اِتَّهَم,2ittahim,2ittaham,False,8,8,0-9,0-9,1
يْضَعْضِع,yda3di3,yda3di3,True,9,7,0-9,0-9,4
اِتْكَشَّف,2itkashshaf,2itkashshaf,True,10,11,10-19,10-19,1
فْتِيل,ftiil,ftiil,True,6,5,0-9,0-9,2
خَتَم,khatim,khattim,False,5,6,0-9,0-9,3
مَاسْتِر,maastar,maastar,True,8,7,0-9,0-9,2
يِنْدَبَش,yindibish,yindibish,True,9,9,0-9,0-9,4
جَدَوعِيِّة,djaduu3iyye,djaduu3iyye,True,11,11,10-19,10-19,4
يتَنَكُّر,yitnakkar,yitnakkar,True,9,9,0-9,0-9,3
يتَدْلَى,yiddala,yiddala,True,8,7,0-9,0-9,4
يِتْحَرْوَم,yit7oomar,yit7oomar,True,11,9,10-19,0-9,4
ثُرْثَار,sarsaar,sarsaar,True,8,7,0-9,0-9,1
مَحَالِب,ma7aalib,ma7aalib,True,8,8,0-9,0-9,2
اُزْمُق,2izmaq,2izmaq,True,7,6,0-9,0-9,4
صِحِي عحَاله,si7i 3a7aalo,si7i 3a7aalo,True,12,12,10-19,10-19,3
بِيت المَيّ,beet 2ilmayy,beet 2ilmay,False,11,12,10-19,10-19,4
دَرْدَك,dardik,dardak,False,7,6,0-9,0-9,1
يِتْوَافَل,yitwaalaf,yitwaalaf,True,10,9,10-19,0-9,3
زَوَّل,zool,zool,True,6,4,0-9,0-9,4
مِذْلُول,mazluul,mazluul,True,8,7,0-9,0-9,4
تُرَابِيس,taraabiis,taraabiis,True,9,9,0-9,0-9,4
هَدِّة,hadde,hadde,True,6,5,0-9,0-9,3
اِنْخَبَل,2inkhibil,2inkhabal,False,9,9,0-9,0-9,4
قَلَايِد,qkalaayid,qkalaayid,True,8,9,0-9,0-9,1
يِغْلِق,yighliq,yighliq,True,7,7,0-9,0-9,3
اِنْتَظِر,2intazir,2intazar,False,9,8,0-9,0-9,5
مْشَرْبِك,msharbak,msharbak,True,9,8,0-9,0-9,2
يِنْحِرِش,yin7irish,yin7irish,True,9,9,0-9,0-9,2
طَلْعِي قُور,talla3li qruun,talla3li qruur,False,12,14,10-19,10-19,4
أَبُو العَكْتَا,2abul 3akkaat,2abu 2il3akkaat,False,15,13,10-19,10-19,5
سِيَاسِي,siyaasi,sayaasi,False,8,7,0-9,0-9,2
مْسَلَّغَة,maslagha,maslagha,True,10,8,10-19,0-9,3
اِنْقَهِر,2inqahir,2inqahar,False,9,8,0-9,0-9,3
حَرَامِيِّة,7araamiyye,7araamiyye,True,11,10,10-19,10-19,1
غُرَاب,ghuraab,ghraab,False,6,7,0-9,0-9,2
بَكِير,bakkiir,bakkiir,True,6,7,0-9,0-9,3
سِينِمَا,sinima,sinima,True,8,6,0-9,0-9,1
نْقِنِيق,nakniik,naqniik,False,8,7,0-9,0-9,5
مْبَسْوِط,mabsuut,mabsuut,True,9,7,0-9,0-9,2
اِنْشِخِط,2inshakhat,2inshakhat,True,9,10,0-9,10-19,2
مُبَسَّط,mbassit,mbassit,True,8,7,0-9,0-9,5
رُبَّازِي,rabaayiz,rabaayiz,True,9,8,0-9,0-9,4
دْفَاع,difaa3,dfaa3,False,6,6,0-9,0-9,2
طُرُقَات,turuqaat,turuqaat,True,8,8,0-9,0-9,4
حْرُوب,7uruub,7ruub,False,6,6,0-9,0-9,1
تْقَاسَم,tqaasam,tqaasam,True,8,7,0-9,0-9,1
جَغَّم,jagham,jughum,False,6,6,0-9,0-9,4
مْهَافَتِة,mhaafate,mhaafate,True,10,8,10-19,0-9,1
أَنْهِى,2anha,2anha,True,7,5,0-9,0-9,3
عِزِز,3azzaz,3azziz,False,5,6,0-9,0-9,4
يدُون,yidnu,ydawwin,False,5,5,0-9,0-9,3
اُطْعُش,2it3ash,2it3ash,True,7,7,0-9,0-9,3
اِتْجَرَّد,2iddarraj,2itjarrad,False,10,9,10-19,0-9,2
دَوَّش,dawwish,dawwash,False,6,7,0-9,0-9,1
صَمْدُوم,masmuud,masduum,False,8,7,0-9,0-9,4
اِتْعَسَّر,2it3assar,2it3assar,True,10,9,10-19,0-9,1
كَرِب,karrib,karrib,True,5,6,0-9,0-9,4
جَعْمَص,dja3mis,dja3mis,True,7,7,0-9,0-9,1
مْشَوَّط,mshawwit,mshawwit,True,8,8,0-9,0-9,3
تَوْجِيهِي,tawjiihi,tawjiihi,True,10,8,10-19,0-9,1
ريَاع,ryaa3,ryaa3,True,5,5,0-9,0-9,1
اْقَطِّف,2uqtuf,2uqtuf,True,8,6,0-9,0-9,5
اُلْحُس,2il7as,2il7as,True,7,6,0-9,0-9,3
أُوضَة,2ooda,2ooda,True,6,5,0-9,0-9,4
اِنْحَرِف,2in7araf,2in7araf,True,9,8,0-9,0-9,5
اِتْرُوس,2itrawwas,2itrawwas,True,8,9,0-9,0-9,3
اِتْعَب,2it3ab,2it3ab,True,7,6,0-9,0-9,1
فَطْفِط,fatfit,fatfit,True,7,6,0-9,0-9,1
دَعَس,da3as,da33as,False,5,5,0-9,0-9,1
إِيجَار,2ijaar,2iijaar,False,7,6,0-9,0-9,1
هَزَّأ,hazza2,hazza2,True,6,6,0-9,0-9,1
اِجْتِهِز,2itjahhaz,2itjahhaz,True,9,9,0-9,0-9,4
اِسْتَدْرِك,2istadrik,2istadrik,True,11,9,10-19,0-9,4
دْهَان,dhaan,dhaan,True,6,5,0-9,0-9,4
عَوَّض,3awad,3awwid,False,6,5,0-9,0-9,2
يجَسّ,yjiss,yjiss,True,5,5,0-9,0-9,4
صَبَّاب,sabbaab,sabbaab,True,7,7,0-9,0-9,1
يِحْلِق,y7alliq,yi7liq,False,7,7,0-9,0-9,1
عُرُق,3arqas,3arriq,False,5,6,0-9,0-9,5
يْبَرْبِر,ybarbir,ybarbir,True,9,7,0-9,0-9,2
كَرْكَم,kurkum,karkam,False,7,6,0-9,0-9,2
مَطْزَوع,matzuu3,matzuu3,True,8,7,0-9,0-9,4
يِكْتِف,ykattif,yiktif,False,7,7,0-9,0-9,3
مَوَّى,mawwa,mawwa,True,6,5,0-9,0-9,2
زير طْفَاح,ziir tfaa7,ziir tfaa7,True,10,10,10-19,10-19,1
قَرَر,qarrar,qarrir,False,5,6,0-9,0-9,3
ووَاو,waaw,waaw,True,5,4,0-9,0-9,5
أَكْثَر,2akthar,2akthar,True,7,7,0-9,0-9,1
يقَرْفِص,yqarfis,yqarfis,True,8,7,0-9,0-9,1
لِسَن,lassan,lassin,False,5,6,0-9,0-9,5
زِلَازِل,zalaazil,zalaazil,True,8,8,0-9,0-9,3
غِلّ,ghill,ghall,False,4,5,0-9,0-9,5
بُرْنَيطَة,burneeta,burneeta,True,10,8,10-19,0-9,1
صُفِّي,sifi,sifi,True,6,4,0-9,0-9,5
يُسْلُك,yusluk,ysallik,False,7,6,0-9,0-9,3
اِسْتَهْبَال,2istihbaal,2istihbaal,True,12,10,10-19,10-19,2
كِنّ,kinn,kann,False,4,4,0-9,0-9,1
اِتْشَغّشَل,2itshaghghal,2itshaghghal,True,11,12,10-19,10-19,4
يتْنَهْرَز,yitnahraz,yitnahraz,True,10,9,10-19,0-9,4
مْحَمْوِد,ma7muud,ma7muud,True,9,7,0-9,0-9,2
يُعْطُل,y3attil,y3attil,True,7,7,0-9,0-9,5
طُلَى,tala,tala,True,5,4,0-9,0-9,4
مُحَتَّاس,mi7taas,mi7taas,True,9,7,0-9,0-9,5
اِتَوَسَّخ,2itwassakh,2itwassakh,True,10,10,10-19,10-19,4
تْهَتَّه,tahtah,tahtih,False,8,6,0-9,0-9,3
مَعَيَّار,mi3yaar,mi3yaar,True,9,7,0-9,0-9,5
يطَمِّع,ytammi3,ytammi3,True,7,7,0-9,0-9,1
يُوَازِن,ywaazin,ywaazin,True,8,7,0-9,0-9,5
دَعْكِشِة,da3kashe,da3kashe,True,9,8,0-9,0-9,3
اِشْقي,2ishqi,2ishqi,True,6,6,0-9,0-9,5
يِطْعِم,yit3im,yit3am,False,7,6,0-9,0-9,5
يِسْتَهْوَن,yistahwin,yistahwin,True,11,9,10-19,0-9,3
مُهْرَجَان,mahrajaan,mahrajaan,True,10,9,10-19,0-9,1
يدَوبَح,ydoobi7,ydoobi7,True,7,7,0-9,0-9,2
مُنْفِذ,mnaffiz,mnaffid,False,7,7,0-9,0-9,2
رَيِّع,rayya3,rayyi3,False,6,6,0-9,0-9,3
مَلِّي,malli,malli,True,6,5,0-9,0-9,1
شُغْلَك مِثِل حْرَاث الجَمَّال,shughlak mitil 7raat 2iljammaal,shughlak mitil 7raath 2ildjammal,False,30,31,30-39,30-39,2
يِفْوِر,yfawwir,yfuur,False,7,7,0-9,0-9,3
يِحْقِن,yi7qun,y7aqqin,False,7,6,0-9,0-9,4
تَقَصُّب,tqabbas,tqassab,False,8,7,0-9,0-9,3
مْفَحْلِل,mfa7lal,mfa7lal,True,9,7,0-9,0-9,2
اِسْتَخْرِج,2istikhraj,2istakhraj,False,11,10,10-19,10-19,1
اُلْسُع,2ilsa3,2ilsa3,True,7,6,0-9,0-9,5
مْلَهْوِف,malhuuf,malhuuf,True,9,7,0-9,0-9,2
مِدِد,madad,maddad,False,5,5,0-9,0-9,5
اِسْتَضْرَط,2istadrat,2istadrit,False,11,9,10-19,0-9,2
يِتْوَعَّد,yitwadda3,yitwa33ad,False,10,9,10-19,0-9,2
نَقَّص,niqis,naqqas,False,6,5,0-9,0-9,1
قُطُوسِة,qattuuse,qattuuse,True,8,8,0-9,0-9,3
حْبَاس,7abbaas,7abbaas,True,6,7,0-9,0-9,2
شَوشْرَة,shooshara,shooshara,True,8,9,0-9,0-9,4
صَبَّاح الخير,sabaa7 2ilkheer,sabaa7 2ilkheer,True,13,15,10-19,10-19,1
يِفْصِل,yifsil,yfassil,False,7,6,0-9,0-9,4
مْتَرَّس,mtarras,mtarris,False,8,7,0-9,0-9,2
اِنْدَمَاج,2indimaaj,2indimaaj,True,10,9,10-19,0-9,4
رَابور,raaboor,raaboor,True,6,7,0-9,0-9,3
تْفَتَّا,tafta,tafta,True,8,5,0-9,0-9,3
نَفِّع,naffa3,naffi3,False,6,6,0-9,0-9,3
تَخَمُّش,tkhammash,tkhammash,True,8,9,0-9,0-9,2
مِنَاخِيل,manaakhiil,manaakhiil,True,9,10,0-9,10-19,4
اِمْت,maat,2imt,False,5,4,0-9,0-9,3
الوَلَد العَاطِل بْيِكْسِر الخَاطِر,2ilwalad 2il3aatil biksir 2ilkhaatir,2ilwalad 2il3aatil biksir 2ilkhaatir,True,35,36,30-39,30-39,3
وَسَط,wassit,wassit,True,5,6,0-9,0-9,1
رَكَّع,raka3,rakki3,False,6,5,0-9,0-9,2
بَوَّش,bawwish,bawwash,False,6,7,0-9,0-9,2
تَلَطِّيشِة,taltiishe,taltiishe,True,11,9,10-19,0-9,4
تُخّ,takhkh,tikhkh,False,4,6,0-9,0-9,3
اِحْلَشّ,2i7lish,2i7lish,True,8,7,0-9,0-9,5
يِتَدَسْكَر,yiddaskar,yiddaskar,True,11,9,10-19,0-9,4
كَاحَى,2ik7a,kaa7a,False,6,5,0-9,0-9,4
مْحَشْوَر,ma7shuur,ma7shuur,True,9,8,0-9,0-9,3
مَوْتَنَاج,muuntaaj,muutajaan,False,10,8,10-19,0-9,5
بَوِّس,buus,bawwis,False,6,4,0-9,0-9,3
مَهْدَوم,mahduum,mahduum,True,8,7,0-9,0-9,4
يِنْحِزِر,yin7izir,yin7izir,True,9,8,0-9,0-9,1
اِلْقَى,2ilqa,2ilqa,True,7,5,0-9,0-9,1
يُمْرُج,ymarrij,yumruj,False,7,7,0-9,0-9,1
يِسْتَوْطِن,yistawtin,yistawtin,True,11,9,10-19,0-9,1
اِذْهَب,2izhab,2izhab,True,7,6,0-9,0-9,1
غليت مَيَاتُه,ghilyat mayyaato,ghilyat mayyaato,True,13,16,10-19,10-19,4
رَكَب رَاسُه,rikib raaso,rikib raaso,True,12,11,10-19,10-19,1
تَخَيُّب,tkhayyab,tkhayyab,True,8,8,0-9,0-9,2
يوَمِّي,yoomi,yoomi,True,7,5,0-9,0-9,1
قرصته وَالقبر,qarsito wilqabir,qarsito wilqabir,True,13,16,10-19,10-19,1
اِتَّكِل,2ittikal,2ittikil,False,8,8,0-9,0-9,2
اِرْكُض,2irkud,2irkud,True,7,6,0-9,0-9,1
يِبْلِطِن,ybaltin,ybaltin,True,9,7,0-9,0-9,4
عرق ذَانه,3iriq daanu,3iriq daanu,True,9,11,0-9,10-19,1
يْقَرِّط,yuqrut,yqarrit,False,8,6,0-9,0-9,4
مُصَابِح,msaabi7,msaabi7,True,8,7,0-9,0-9,5
كَمْبَر,kambar,kambar,True,7,6,0-9,0-9,1
يُكْتُم,yiktim,yiktim,True,7,6,0-9,0-9,4
يِتْعِتِّس,yta3tis,yta3tis,True,10,7,10-19,0-9,5
دَبَّك عوِجْهُه,dabbak 3awijho,dabbak 3awijho,True,15,14,10-19,10-19,2
يِتْدَلْعَب,yiddal3ab,yidda3bal,False,11,9,10-19,0-9,1
يِعْنِد,y3annid,y3annid,True,7,7,0-9,0-9,4
نِاب,naab,naab,True,4,4,0-9,0-9,3
أَشوف العَمَى أولَا شوفه,2ashuuf 2il3ama wala 2ashuufo,2ashuuf 2il3ama wala 2ashuufo,True,24,29,20-29,20-29,3
يَلَّا,yalla,yla,False,6,5,0-9,0-9,5
اِنْهَض,naahad,2inhad,False,7,6,0-9,0-9,3
كِيَال,kayyaal,kayyaal,True,6,7,0-9,0-9,4
اِنْهَدَم,2inhidim,2inhadam,False,9,8,0-9,0-9,2
يكَرِّس,ykarris,ykarris,True,7,7,0-9,0-9,1
ذِهَاب,zahaab,dhaab,False,6,6,0-9,0-9,3
قَرَّض,qard,qarad,False,6,4,0-9,0-9,3
اِتْسَعَّر,2itsarra3,2itsarra3,True,10,9,10-19,0-9,2
غِرِز,gharraz,gharriz,False,5,7,0-9,0-9,5
عَظَم,3azzim,3addim,False,5,6,0-9,0-9,3
عَذَارِى,3azaara,3azaara,True,8,7,0-9,0-9,3
سَيَّب,siib,siib,True,6,4,0-9,0-9,2
مَنْتَجِة,mantaje,mantaje,True,9,7,0-9,0-9,1
يِجْزِم,yijzim,yijzim,True,7,6,0-9,0-9,4
تَوَزُّن,twazzan,twazzan,True,8,7,0-9,0-9,4
قَاضْي,qaadi,qaayid,False,6,5,0-9,0-9,5
يلَطِّخ,yiltakh,ylattikh,False,7,7,0-9,0-9,2
يِعْقَاش,y3aaqkish,y3aaqkish,True,8,9,0-9,0-9,3
بِلِم,ballim,ballam,False,5,6,0-9,0-9,5
اِتْبَرَّط,2itbattar,2itbattar,True,10,9,10-19,0-9,4
يَا هَادِي,yaa haadi,yaa haadi,True,10,9,10-19,0-9,3
تْوَاطى,twaata,twaata,True,7,6,0-9,0-9,5
اِتْوَرَّف,2itwaffar,2itwarraf,False,10,9,10-19,0-9,4
مَخَاطِب,mukhaatab,makhaatib,False,8,9,0-9,0-9,1
عَين قوية,3een qawiyye,3een qawiyye,True,9,12,0-9,10-19,5
اِتْخَوَّز,2itkhazzan,2itkhoozaq,False,10,10,10-19,10-19,5
تِقْرِب,tqarrab,tqarrab,True,7,7,0-9,0-9,4
يِتْشَقَّر,yitshaqqar,yitshaqqar,True,10,10,10-19,10-19,1
يِتْصَهَّين,yitsahyan,yitsahyan,True,11,9,10-19,0-9,2
اُوسِي,waasi,2uusi,False,6,5,0-9,0-9,3
جُنَايِز,janaayiz,janaayiz,True,8,8,0-9,0-9,5
مش شَفَّاي الفَضَا,mish shaayef 2ilfada,mish shaayif 2ilfada,False,18,20,10-19,20-29,4
تِدْرُس,2iddarras,2iddarras,True,7,9,0-9,0-9,5
حُمُّو,7amu,7amu,True,6,4,0-9,0-9,5
اِنْعَاش,2in3aash,2in3aash,True,8,8,0-9,0-9,1
اِخْسَرّ,2ikhsar,2ikhsar,True,8,7,0-9,0-9,5
يرَصِّب,yurbus,yrassib,False,7,6,0-9,0-9,4
عَتَّالِة,3taale,3taale,True,9,6,0-9,0-9,2
يِنْشَحِط,yinshi7it,yinshi7it,True,9,9,0-9,0-9,3
عَايِف,3aayif,3aayif,True,6,6,0-9,0-9,1
عَقَب,3aqqib,3ugub,False,5,6,0-9,0-9,4
يِتْلَثَّم,yitlassam,yitlassam,True,10,9,10-19,0-9,1
مْجَرَّم,mujrim,mujrim,True,8,6,0-9,0-9,1
يُشْرُب,yishrab,yishrab,True,7,7,0-9,0-9,4
يِتْشَوَّش,yitshawwash,yitshawwash,True,10,11,10-19,10-19,1
يْوَائِم,ywaa2im,ywaa2im,True,8,7,0-9,0-9,4
مَا بحرث الأرض إِلَاعجوله,maa bu7ruth 2il2ard 2illa 3juulha,maa bu7ruth 2il2ard 2illa 3djuulha,False,25,33,20-29,30-39,2
يِنْصِد,yinsadd,yinsadd,True,7,7,0-9,0-9,5
رَبِص,rabas,rabas,True,5,5,0-9,0-9,4
يطِمْطِم,ytamtim,ymatmit,False,8,7,0-9,0-9,5
عُطُبُن,3atban,3atbin,False,7,6,0-9,0-9,5
يِتَلَقْمَن,yitlaqman,yitlaqman,True,11,9,10-19,0-9,2
وَرْتِش,wartish,wartish,True,7,7,0-9,0-9,3
مْحَاوَلِة,mu7aawale,mu7aawale,True,10,9,10-19,0-9,2
تْخَرْدَق,tkhardaq,tkhardaq,True,9,8,0-9,0-9,2
عِشْرَة عمر,3ishrit 3umur,3ishrit 3umur,True,11,13,10-19,10-19,3
مَغَج,maghghadj,maghghadj,True,5,9,0-9,0-9,1
هَامَم,haamim,haamim,True,6,6,0-9,0-9,2
خِيَم,khayyim,kheekhim,False,5,7,0-9,0-9,5
ثْرَاث,sarsaar,sarsa,False,6,7,0-9,0-9,5
اِتْرَس,2utrus,2utrus,True,7,6,0-9,0-9,4
هَنْدَسّ,handas,handis,False,8,6,0-9,0-9,5
جَاجِة عقيت,djaadje 3utqiyye,djaadje 3utqiyye,True,11,16,10-19,10-19,2
جَاي عَالطِّرِيق,jaay 3attariiq,jaay 3attariiq,True,16,14,10-19,10-19,4
تْعَال,ta3aal,ta3aal,True,6,6,0-9,0-9,2
بَرْقَع,burgu3,burgu3,True,7,6,0-9,0-9,4
شْرُوق,shuruuq,shruuq,False,6,7,0-9,0-9,1
بَكَى,bakka,bakka,True,5,5,0-9,0-9,3
يتَشَلَّح,yitshalla7,yitshalla7,True,9,10,0-9,10-19,4
رِجْعَة,raj3a,raj3a,True,7,5,0-9,0-9,4
دَعَس,da33is,da33as,False,5,6,0-9,0-9,1
جِلِّة,djalle,djalle,True,6,6,0-9,0-9,2
تِحْمَل,ta7ammul,t7ammal,False,7,8,0-9,0-9,4
قِرْقِع,qarqa3karka3,qarqi3karki3,False,7,12,0-9,10-19,4
نَرَّاز,narraaz,narraaz,True,7,7,0-9,0-9,1
ذَحَك عَقَنْضُه,di7ik 3adiqno,di7ik 3adiqno,True,15,13,10-19,10-19,4
مَرَن,marrin,marrin,True,5,6,0-9,0-9,1
يْشَلْبِك,yshalbik,yshalbik,True,9,8,0-9,0-9,2
رَكَّز,rakkaz,rakkaz,True,6,6,0-9,0-9,1
تَكَّايِة,takkaaye,takkaaye,True,9,8,0-9,0-9,1
دَحْبَرَة,da7bara,da7bara,True,9,7,0-9,0-9,1
صَفَّحة ونَاطوت,saf7a wintawit,saf7a wintawit,True,15,14,10-19,10-19,4
بتن بوكت بر,bittabin wu bitkarrib,bittabin wu bitkarreb,False,11,21,10-19,20-29,5
اِخْرَمّ,2ikhram,2ukhrum,False,8,7,0-9,0-9,5
اِسْتَرِدّ,2istaridd,2istaradd,False,10,9,10-19,0-9,5
جُيَاب,jyaab,jyaab,True,6,5,0-9,0-9,5
تَقْصِيعِة,taqsii3a,taqsii3a,True,10,8,10-19,0-9,3
يِنِسْرِق,yinsiriq,yinsiriq,True,9,8,0-9,0-9,4
صَدَع,sadda3,saddi3,False,5,6,0-9,0-9,1
عَكَّك,3atshatsh,3akkik,False,6,9,0-9,0-9,2
فَرْطِيش,faratiish,faratiish,True,8,9,0-9,0-9,1
مُؤْتَمِر,mu2tamar,mu2tamir,False,9,8,0-9,0-9,2
ظَلَم,zallim,zallam,False,5,6,0-9,0-9,3
جَرَايِد,jaraayid,jaraayid,True,8,8,0-9,0-9,2
بُشْكِير,bashkiir,bashkiir,True,8,8,0-9,0-9,3
عَضَّة,3udda,3adda,False,6,5,0-9,0-9,1
أَوْكِل,2awkal,2awkal,True,7,6,0-9,0-9,2
يُتْسَاقَط,yitsaaqat,yitsaaqat,True,10,9,10-19,0-9,5
يْحَسْبِن,y7asbin,y7asbin,True,9,7,0-9,0-9,3
قَاطِع الرحم,qaati3 2irra7im,qaati3 2irra7im,True,12,15,10-19,10-19,5
يؤلِّم,y2allim,y2allim,True,6,7,0-9,0-9,1
شُوف,shuuf,shawwaf,False,4,5,0-9,0-9,2
يِتْعَس,yta33is,yta33is,True,7,7,0-9,0-9,3
اِتَسَدُّح,2itsadda7,2itsadda7,True,10,9,10-19,0-9,5
يِدْلُف,yidlif,yidlif,True,7,6,0-9,0-9,5
تَاع,taa3,taa3,True,4,4,0-9,0-9,1
أَوْجِز,2awjaz,2awjaz,True,7,6,0-9,0-9,3
خُمُش,khammish,khammash,False,5,8,0-9,0-9,5
يتَكْسِر,yitkassar,yitkassar,True,8,9,0-9,0-9,3
طْلِيعَة,talii3a,talii3a,True,8,7,0-9,0-9,2
طَوبِر,ytoobir,toobar,False,6,7,0-9,0-9,2
يِخْمِخ,ykhamkhim,ykhamkhim,True,7,9,0-9,0-9,2
تَشَفُّى,tshaffa,tshaffa,True,8,7,0-9,0-9,5
طَمِّة,matta,tamme,False,6,5,0-9,0-9,5
سِجِل مَا بْيِتْهَا,sajjal 2ilbeet b2isimha,sajjal 2ilbeet b2isimha,True,19,23,10-19,20-29,4
يفَدِّي,yifdi,yifdi,True,7,5,0-9,0-9,3
أَسَل,2aslam,2asal,False,5,6,0-9,0-9,5
مَنْزُوع الدِّسَم,manzuu3 2iddasam,manzuu3 2iddasam,True,17,16,10-19,10-19,4
رَيض,rayyid,rayyid,True,4,6,0-9,0-9,4
صَايْة,saaye,saaye,True,6,5,0-9,0-9,5
صُولِيِّة,wusuuliyye,suuliyye,False,9,10,0-9,10-19,4
مَاشِطَة,maashta,maashta,True,8,7,0-9,0-9,5
تْعِلِل,t3allal,t3allal,True,7,7,0-9,0-9,4
يسُرّ,ysurr,ysirr,False,5,5,0-9,0-9,1
مُتَشَنِّج,mitshannij,mitshannij,True,10,10,10-19,10-19,4
اِنْهَزِر,2inhizir,2inhizir,True,9,8,0-9,0-9,5
يجَدُّول,yjadwil,yjadwil,True,8,7,0-9,0-9,3
زَبَالِة,zbaale,zbaale,True,8,6,0-9,0-9,3
تْسَامَح,tsaama7,tsaama7,True,8,7,0-9,0-9,2
مَا حَيلتُه حَيلِة,maa 7iilto 7iile,maa 7iilto 7iile,True,18,16,10-19,10-19,3
وِجْهُه خيرَك,wijhik kheer,wijhik kheer 3aleena,False,13,12,10-19,10-19,5
قُلّة,qille,qulle,False,5,5,0-9,0-9,4
بَشَّارَة,bashshaara,bshaara,False,9,10,0-9,10-19,1
عَمَر,3ammir,3ammir,True,5,6,0-9,0-9,2
نْسَيَّج,nasiij,nasiij,True,8,6,0-9,0-9,5
تَعَب,ta33ab,ta33ab,True,5,6,0-9,0-9,3
ذِيَع,zii3,zii3,True,5,4,0-9,0-9,5
مُنَاطِير,manaatiir,manaatiir,True,9,9,0-9,0-9,2
يْلَاحِظ,ylaa7iz,ylaa7iz,True,8,7,0-9,0-9,2
شَارِب مِن عَلَك,shaarib min kull nabi3,shaarib min kull nabi3,True,16,22,10-19,20-29,4
اِثْرَي,2isri,2isri,True,7,5,0-9,0-9,3
يِرْحَل,yir7al,yra77il,False,7,6,0-9,0-9,1
كُلْسَانِي,kalaasiin,kalaasiin,True,10,9,10-19,0-9,5
اِنْغَمَر,2inghirim,2inghamar,False,9,9,0-9,0-9,5
جَمْرِة المِي,jamrit 2ilmayy,jamrit 2ilmayy,True,13,14,10-19,10-19,4
مِتْبَطِّر,mitbattir,mitbattir,True,10,9,10-19,0-9,1
بْلَاش,balaash,balaash,True,6,7,0-9,0-9,2
عَطْبِن,3atban,3atbin,False,7,6,0-9,0-9,1
اِعْتَكَف,2i3tikif,2i3takaf,False,9,8,0-9,0-9,2
يعَمِّش,yi3mish,yi3mish,True,7,7,0-9,0-9,1
طَرَاحَة,tarraa7a,tarraa7a,True,8,8,0-9,0-9,3
عُرُش,3arash,3arrish,False,5,6,0-9,0-9,4
كَنَى,naka,kana,False,5,4,0-9,0-9,5
نَغْزِة,naghze,naghze,True,7,6,0-9,0-9,1
أَطِين عيشتُه,2atayyin 3iishto,2atayyin 3iishto,True,13,16,10-19,10-19,4
صَرْف,sarraf,sarraf,True,5,6,0-9,0-9,4
تْحَزَّر,t7azzar,t7azzar,True,8,7,0-9,0-9,1
