source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket
3amaala,عمالة,عمالة,True,7,5,0-9,0-9
saafin,صافن,سافن,False,6,4,0-9,0-9
3usi,عصي,عصي,True,4,3,0-9,0-9
ghasal,غسل,غسل,True,6,3,0-9,0-9
ydiim,يديم,يديم,True,5,4,0-9,0-9
nammir,نمر,نمر,True,6,3,0-9,0-9
waazan,وازن,وازن,True,6,4,0-9,0-9
ghalbaan,غلبان,غلبان,True,8,5,0-9,0-9
khaam,خام,خام,True,5,3,0-9,0-9
yzarzirr,يزرزر,يزرزر,True,8,5,0-9,0-9
shawaadir,شوادر,شوادر,True,9,5,0-9,0-9
tansiif,تنسيف,تنصيف,False,7,5,0-9,0-9
nijim,نجم,نجم,True,5,3,0-9,0-9
yitlaa2am,يتلائم,يتلائم,True,9,6,0-9,0-9
byuut,بيوت,بيوت,True,5,4,0-9,0-9
7as7as,حصحص,حسحس,False,6,4,0-9,0-9
2itkarfat,اتكرفت,اتكرفت,True,9,6,0-9,0-9
yfashkil,يفشكل,يفشكل,True,8,5,0-9,0-9
2irta3ab,ارتعب,ارتعب,True,8,5,0-9,0-9
2ista7yin,استحين,استحين,True,9,6,0-9,0-9
mbannis,مبنص,مبنس,False,7,4,0-9,0-9
qu3fur,قعفر,قعفر,True,6,4,0-9,0-9
3attash,عطش,عطش,True,7,3,0-9,0-9
yisfa,يصفى,يصفى,True,5,4,0-9,0-9
yitmasmar,يتمسمر,يتمسمر,True,9,6,0-9,0-9
manquuqman2uu2,منقوق,منقوم,False,14,5,10-19,0-9
7ammal 2ahli jmiile,حمل أهلي جميلة,حمل أهلي جميلة,True,19,14,10-19,10-19
fanajiil,فناجيل,فناجيل,True,8,6,0-9,0-9
tghassal,تغسل,تغسل,True,8,4,0-9,0-9
3iraagiyye,عراقية,عراقية,True,10,6,10-19,0-9
keeki7,كيكح,كيكح,True,6,4,0-9,0-9
mratrit,مرطرط,مرطرط,True,7,5,0-9,0-9
t7oomar,تحومر,تحومر,True,7,5,0-9,0-9
yjaljil,يجلجل,يجلجل,True,7,5,0-9,0-9
baqlawa,بقلاوة,بقلوة,False,7,6,0-9,0-9
2islakh,اسلخ,اسلخ,True,7,4,0-9,0-9
2azme 2iqtisaadiyye,أزمة اقتصادية,أزمة الصيدة,False,19,13,10-19,10-19
2ismo bil2ard,اسمه بالأرض,اسم بالأرض,False,13,11,10-19,10-19
rass,رص,رص,True,4,2,0-9,0-9
7almiz,حلمز,حلمز,True,6,4,0-9,0-9
7abkit 2ilqissa,حبكة القصة,حبكة السقة,False,15,10,10-19,10-19
yit3ajraf,يتعجرف,يتعجرف,True,9,6,0-9,0-9
yitshaa2am,يتشائم,يتشائم,True,10,6,10-19,0-9
rukuu3,ركوع,ركوع,True,6,4,0-9,0-9
3asruune,عصرونة,عصرونة,True,8,6,0-9,0-9
yitmazza3,يتمزع,يتمزع,True,9,5,0-9,0-9
7awwiit,حويط,حويط,True,7,4,0-9,0-9
mashtal,مشتل,مشتل,True,7,4,0-9,0-9
yustul,يسطل,يسطل,True,6,4,0-9,0-9
2i7dif,احدف,احدف,True,6,4,0-9,0-9
bunduq,بندق,بندق,True,6,4,0-9,0-9
faarish,فارش,فارش,True,7,4,0-9,0-9
mutakhaffi,متخفي,متكهفي,False,10,5,10-19,0-9
y3uuf,يعوف,يعوف,True,5,4,0-9,0-9
maa btiiji ghurze fiiki,ما بتيجي غرزة فيك,ما بيت غجيفك رك,False,23,17,20-29,10-19
7amilha 3aziiz,حملها عزيز,حملها عزيز,True,14,10,10-19,10-19
witi,وطي,وتي,False,4,3,0-9,0-9
qaati3 2iido wushaa7id 3aleeha,قاطع إيده وشاحد عليها,قاطع اليده وشاحدها,False,30,21,30-39,20-29
3abba raaso,عبى راس,عبابر ساسه,False,11,7,10-19,0-9
ghammad,غمض,غمض,True,7,3,0-9,0-9
3ala 2alla,على الله,على أله,False,10,8,10-19,0-9
maa zanneeti,ما ظنيتي,مازنة نيت,False,12,8,10-19,0-9
krukke,قرقة,كركة,False,6,4,0-9,0-9
shoote,شوطة,شوتة,False,6,4,0-9,0-9
2itlaqqa,اتلقى,اتلقى,True,8,5,0-9,0-9
7laashe,حلاشة,حلاشة,True,7,5,0-9,0-9
tbaawas,تباوس,تباوص,False,7,5,0-9,0-9
maghghat,مغط,مغط,True,8,3,0-9,0-9
miit marsha7a,مية مرشحة,ميتم مشرحة,False,13,9,10-19,0-9
7anaayin,حناين,حناين,True,8,5,0-9,0-9
yit7armas,يتحرمص,يتحرمص,True,9,6,0-9,0-9
2insata7,انسطح,انسطح,True,8,5,0-9,0-9
yittawal,يتطول,يتطول,True,8,5,0-9,0-9
fa3at,فعط,فعط,True,5,3,0-9,0-9
tkarkaz,تكركز,تكركز,True,7,5,0-9,0-9
yii 3alyahuud,يي عاليهود,يوعلى هالدي,False,13,10,10-19,10-19
yintifid,ينتفض,ينتفض,True,8,5,0-9,0-9
ghabbir,غبر,غبر,True,7,3,0-9,0-9
tahhir,طهر,طهر,True,6,3,0-9,0-9
daashi3,داشع,داشع,True,7,4,0-9,0-9
ta7bish,طحبش,طحبش,True,7,4,0-9,0-9
yistafhim,يستفهم,يستفهم,True,9,6,0-9,0-9
quud,قود,قود,True,4,3,0-9,0-9
daayan,داين,داين,True,6,4,0-9,0-9
3uqur,عقر,عقر,True,5,3,0-9,0-9
sa3aadiin,سعادين,سعادين,True,9,6,0-9,0-9
2istaf7al,استفحل,استفحل,True,9,6,0-9,0-9
yshaahid,يشاهد,يشاهد,True,8,5,0-9,0-9
2istahwan,استهون,استهون,True,9,6,0-9,0-9
mazz,مز,مز,True,4,2,0-9,0-9
2itgharbal,اتغربل,اتغربل,True,10,6,10-19,0-9
2itkhabba,اتخبا,اتخبى,False,9,5,0-9,0-9
3afak,عفق,عفك,False,5,3,0-9,0-9
talq,طلق,طلق,True,4,3,0-9,0-9
y7annis,يحنص,يحنص,True,7,4,0-9,0-9
2inlidigh,انلدغ,انلدغ,True,9,5,0-9,0-9
qutub,قتب,قطب,False,5,3,0-9,0-9
mawaadii3,مواضيع,مواديع,False,9,6,0-9,0-9
tab7iira,تبحيرة,تبحيرة,True,8,6,0-9,0-9
ysha7bir,يشحبر,يشحبر,True,8,5,0-9,0-9
yiiy2as,ييأس,يييييييئس,False,7,4,0-9,0-9
yittarraf,يتطرف,يتطرف,True,9,5,0-9,0-9
nashwe,نشوة,نشوة,True,6,4,0-9,0-9
nata7,نطح,نتح,False,5,3,0-9,0-9
2irsakh,ارسخ,ارسخ,True,7,4,0-9,0-9
7ilim,حلم,حلم,True,5,3,0-9,0-9
7aasim,حاسم,حاصم,False,6,4,0-9,0-9
naata7,ناطح,ناطح,True,6,4,0-9,0-9
masaa7iiq 2ittajmiil,مساحيق التجميل,مساحيق التمجام,False,20,14,20-29,10-19
nasaj,نسج,نسج,True,5,3,0-9,0-9
2inda3ik,اندعك,اندعك,True,8,5,0-9,0-9
na3was,نعوس,نعوس,True,6,4,0-9,0-9
daafash,دافش,دافش,True,7,4,0-9,0-9
kull zeet wu2inta7 2il7eet,كل زيت وانطح الحيط,كل زيتون الحيط,False,26,18,20-29,10-19
taase wa7de,طاسة وحده,طاسة وحدة,False,11,9,10-19,0-9
wassa3,وسع,وسع,True,6,3,0-9,0-9
zikrayaat,ذكريات,زكرايت,False,9,6,0-9,0-9
7ijaab,حجاب,حجاب,True,6,4,0-9,0-9
2alf ra7me wunuur,ألف رحمة ونور عليه,ألف رمحو ورونة,False,17,18,10-19,10-19
baaquura,باقورة,باقورة,True,8,6,0-9,0-9
mkalli7,مكلح,مكلح,True,7,4,0-9,0-9
baa3ad,باعد,باعد,True,6,4,0-9,0-9
2istasghar,استصغر,استصغر,True,10,6,10-19,0-9
yitshalla7,يتشلح,يتشلح,True,10,5,10-19,0-9
yjaawir,يجاور,يجاور,True,7,5,0-9,0-9
nisyaan,نسيان,نسيان,True,7,5,0-9,0-9
yighmad,يغمض,يغمض,True,7,4,0-9,0-9
gargara,قرقرة,قرارة,False,7,5,0-9,0-9
qaram,قرم,قرم,True,5,3,0-9,0-9
khawwil,خول,خول,True,7,3,0-9,0-9
yahuud,يهود,يهود,True,6,4,0-9,0-9
lseene,لسينة,لسين,False,6,5,0-9,0-9
garsoon,جرسون,قرصون,False,7,5,0-9,0-9
yitsabba7,يتسبح,يتسبح,True,9,5,0-9,0-9
yziidha 3alee,يزيدها عليه,زيدها عليه,False,13,11,10-19,10-19
nuskha,نسخة,نسخة,True,6,4,0-9,0-9
2irqa3,ارقع,ارقع,True,6,4,0-9,0-9
2akhad,أخذ,أخذ,True,6,3,0-9,0-9
fikk,فك,فك,True,4,2,0-9,0-9
tawwij,توج,طوج,False,6,3,0-9,0-9
sirdaa7i mirdaa7i,سرداحي مرداحي,سرداحي ميريح,False,17,13,10-19,10-19
tnammar,تنمر,تنمر,True,7,4,0-9,0-9
sinsaal,سنسال,سنسال,True,7,5,0-9,0-9
ytaabiq,يطابق,يطابق,True,7,5,0-9,0-9
yulqut,يلقط,يلقط,True,6,4,0-9,0-9
si7ri,سحري,صحري,False,5,4,0-9,0-9
tashriib,تشريب,تشريب,True,8,5,0-9,0-9
djardja7,جرجح,جرجح,True,8,4,0-9,0-9
rakhawi,رخوي,رخوي,True,7,4,0-9,0-9
2inhibil,انهبل,انهبل,True,8,5,0-9,0-9
taba3,طبع,طبع,True,5,3,0-9,0-9
bittafsiil 2ilmumill,بالتفصيل الممل,بتفصيل الميلم,False,20,14,20-29,10-19
faati7 batno,فاتح بطنه,فاتح بطنه,True,12,9,10-19,0-9
3awra,عورة,عورة,True,5,4,0-9,0-9
zakki,زكي,زكي,True,5,3,0-9,0-9
tarwiise,ترويسة,ترويسة,True,8,6,0-9,0-9
fasil,فصل,فصل,True,5,3,0-9,0-9
2immasligh,ممسلغ,امسلغ,False,10,5,10-19,0-9
taala3,طالع,طالع,True,6,4,0-9,0-9
filfil 2aswad,فلفل أسود,فلف السود,False,13,9,10-19,0-9
7awaaf,حواف,حواف,True,6,4,0-9,0-9
yinkhiris,ينخرس,ينخرس,True,9,5,0-9,0-9
2annis,أنث,أنث,True,6,3,0-9,0-9
dahaadiish,دهاديش,دهاديش,True,10,6,10-19,0-9
mashshit,مشط,مشط,True,8,3,0-9,0-9
waasi3,واسع,واسع,True,6,4,0-9,0-9
ta3arruj,تعرج,تعرج,True,8,4,0-9,0-9
2ann,أن,أن,True,4,2,0-9,0-9
2istandif,استنظف,استنظف,True,9,6,0-9,0-9
yitsharra3,يتشرع,يتشرع,True,10,5,10-19,0-9
mfaddil 3araasi min fooq,مفضل عراسي من فوق,مفضي لعراسه من فيق,False,24,17,20-29,10-19
waghwish,وغوش,وغوش,True,8,4,0-9,0-9
2iqtiraa7,اقتراح,اقتراح,True,9,6,0-9,0-9
hazaa2im,هزائم,هزائم,True,8,5,0-9,0-9
khajjal,خجل,خجل,True,7,3,0-9,0-9
7akiim,حكيم,حكيم,True,6,4,0-9,0-9
mahzuur,مهزور,مهزور,True,7,5,0-9,0-9
2awfad,أوفد,أوفد,True,6,4,0-9,0-9
shawwash,شوش,شوش,True,8,3,0-9,0-9
ydeewin,يديون,يديون,True,7,5,0-9,0-9
mirkaas,مركاس,مركاس,True,7,5,0-9,0-9
tmalla,تملى,تملى,True,6,4,0-9,0-9
faraay7i,فرايحي,فرايح,False,8,6,0-9,0-9
tqassa,تقصى,تقصى,True,6,4,0-9,0-9
2intifis,انطفس,انتفس,False,8,5,0-9,0-9
2ahwan bala,أهون بلا,أهوان بلا,False,11,8,10-19,0-9
muwaatane,مواطنة,مواتنة,False,9,6,0-9,0-9
qarqid,قرقد,قرقض,False,6,4,0-9,0-9
yitba33az,يتبعز,يتبعز,True,9,5,0-9,0-9
2u3tus,اعطس,اعطس,True,6,4,0-9,0-9
namliyye,نملية,نملية,True,8,5,0-9,0-9
yulqi 2illoom,يلقي اللوم,يلقي الهموم,False,13,10,10-19,10-19
mahmiz,مهمز,مهمز,True,6,4,0-9,0-9
thazzaz,تهزز,تهزز,True,7,4,0-9,0-9
ytaawi3,يطاوع,يطاوع,True,7,5,0-9,0-9
3ali,علي,علي,True,4,3,0-9,0-9
yi7tarif,يحترف,يحترف,True,8,5,0-9,0-9
yinifrim,ينفرم,ينفرم,True,8,5,0-9,0-9
sawaa7il,سواحل,سواحل,True,8,5,0-9,0-9
hattiike,هتيكة,هتيكة,True,8,5,0-9,0-9
2abuus 2iidak,أبوس إيدك,أبو سيدك,False,13,9,10-19,0-9
2irtawa,ارتوى,ارتوى,True,7,5,0-9,0-9
mahaabiish,مهابيش,مهابيش,True,10,6,10-19,0-9
7akaawi,حكاوي,حكاوي,True,7,5,0-9,0-9
dist,دست,دست,True,4,3,0-9,0-9
tuudaaye,توداية,توضاية,False,8,6,0-9,0-9
wugheero,وغيره,وغيرة,False,8,5,0-9,0-9
bart 7oome,برط حومة,برط حمومة,False,10,8,10-19,0-9
shaytaani,شيطاني,شيطاني,True,9,6,0-9,0-9
khatiyye,خطية,خطية,True,8,4,0-9,0-9
tsaffan,تصفن,تسفن,False,7,4,0-9,0-9
samuum,سموم,سموم,True,6,4,0-9,0-9
maktab,مكتب,مكتب,True,6,4,0-9,0-9
2itnaafas,اتنافس,اتنافس,True,9,6,0-9,0-9
las3a,لسعة,لسعة,True,5,4,0-9,0-9
halqeet,هلقيت,هالقيط,False,7,5,0-9,0-9
yitwaqqa3,يتوقع,يتوقع,True,9,5,0-9,0-9
haafit,هافت,هافت,True,6,4,0-9,0-9
miswaata,مسواطة,مسواطة,True,8,6,0-9,0-9
shaqi,شقي,شقي,True,5,3,0-9,0-9
ta7arri,تحري,تحاري,False,7,4,0-9,0-9
sannat,صن,سنط,False,6,2,0-9,0-9
toobin,طوبن,طوبن,True,6,4,0-9,0-9
waati,واطي,واطي,True,5,4,0-9,0-9
2abyad,أبيض,أبيض,True,6,4,0-9,0-9
manaa7il,مناحل,مناحل,True,8,5,0-9,0-9
karr,كر,كر,True,4,2,0-9,0-9
ta7riir,تحرير,تحرير,True,7,5,0-9,0-9
ynaazi3,ينازع,ينازع,True,7,5,0-9,0-9
draase,دراسة,دراسة,True,6,5,0-9,0-9
fattaa7a,فتاحة,فتاحة,True,8,5,0-9,0-9
2istas3ab,استصعب,استصعب,True,9,6,0-9,0-9
dineen,ذنين,دنين,False,6,4,0-9,0-9
ykhadkhid,يخضخض,يخضخض,True,9,5,0-9,0-9
2almaniyye wala 2iddaniyye,المنية ولا الدنية,ألمنيا ويديا,False,26,17,20-29,10-19
balba3a,بلبعة,بلبعة,True,7,5,0-9,0-9
2inlatash,انلطش,انلطش,True,9,5,0-9,0-9
yilfit,يلفت,يلفت,True,6,4,0-9,0-9
sahlil,صهلل,سهلل,False,6,4,0-9,0-9
2asfar,أصفر,أسفر,False,6,4,0-9,0-9
mkhannim,مخنم,مخنم,True,8,4,0-9,0-9
3izzaabi,عزابي,عزابي,True,8,5,0-9,0-9
bukum,بكم,بكم,True,5,3,0-9,0-9
khayy,خي,خي,True,5,2,0-9,0-9
7aaba,حابى,حابا,False,5,4,0-9,0-9
hammit,همط,همط,True,6,3,0-9,0-9
ydakkin,يدكن,يدكن,True,7,4,0-9,0-9
2uknuz,اكنز,اكنز,True,6,4,0-9,0-9
2ajaaz,أجاز,أجاز,True,6,4,0-9,0-9
midrik,مدرك,مدرك,True,6,4,0-9,0-9
bsuum,بسوم,بصوم,False,5,4,0-9,0-9
tshardaq,تشردق,تشردق,True,8,5,0-9,0-9
faqse,فقسة,فقسة,True,5,4,0-9,0-9
zaayi7,زايح,زايح,True,6,4,0-9,0-9
2imlaa2,إملاء,إملاء,True,7,5,0-9,0-9
saltin,سلطن,سلطن,True,6,4,0-9,0-9
batin,بطن,بطن,True,5,3,0-9,0-9
yitkhazzan,يتخزن,يتخزن,True,10,5,10-19,0-9
khassar,خسر,خصر,False,7,3,0-9,0-9
jumuud,جمود,جمود,True,6,4,0-9,0-9
2itkharsham,اتخرشم,اتخرشم,True,11,6,10-19,0-9
ysalli,يسلي,يسلي,True,6,4,0-9,0-9
2itsaafa,اتصافى,اتصافى,True,8,6,0-9,0-9
2ustuura,أسطورة,استورا,False,8,6,0-9,0-9
2il7as,الحس,الحس,True,6,4,0-9,0-9
duuz,دوز,دوز,True,4,3,0-9,0-9
rakhaa2,رخاء,رخاء,True,7,4,0-9,0-9
yitdjabdjab,يتجبجب,يتجبجب,True,11,6,10-19,0-9
matruus,متروس,مطروس,False,7,5,0-9,0-9
masmas,مصمص,مسمس,False,6,4,0-9,0-9
3aadi,عادي,عادي,True,5,4,0-9,0-9
madruub b7ajar faadi,مضروب بحجركبير,مدروب بحافر,False,20,14,20-29,10-19
mqabbis,مقبس,مقبص,False,7,4,0-9,0-9
shukhuus,شخوص,شخوص,True,8,4,0-9,0-9
masmasa,مصمصة,مسمساس,False,7,5,0-9,0-9
t3azzaz,تعزز,تعزز,True,7,4,0-9,0-9
kazzaabkadhdhaab,كذاب,كزابخ,False,16,4,10-19,0-9
tshakkak,تشكك,تشكك,True,8,4,0-9,0-9
2irtabak,ارتبك,ارتبك,True,8,5,0-9,0-9
fusseediyye,فسيدية,فسيدية,True,11,6,10-19,0-9
gklaade,قلادة,قلادة,True,7,5,0-9,0-9
2ishtarak,اشترك,اشترك,True,9,5,0-9,0-9
2intaqa3,انتقع,انتقع,True,8,5,0-9,0-9
yitballat,يتبلط,يتبلط,True,9,5,0-9,0-9
dyaab,ذياب,ضياب,False,5,4,0-9,0-9
furshaaye,فرشاية,فرشاية,True,9,6,0-9,0-9
khutuut,خطوط,خطوط,True,7,4,0-9,0-9
yunbu3,ينبع,ينبع,True,6,4,0-9,0-9
mushut,مشط,مشوط,False,6,3,0-9,0-9
mshawwash,مشوش,مشوش,True,9,4,0-9,0-9
y7aatif,يحاتف,يحاتف,True,7,5,0-9,0-9
naad,ناد,ناد,True,4,3,0-9,0-9
yitqattam,يتقطم,يتقطم,True,9,5,0-9,0-9
2il3irsaan tawaabiir,العرسان طوابير,العراس وابينات,False,20,14,20-29,10-19
laam,لام,لام,True,4,3,0-9,0-9
fuq3a,فقعة,فقعة,True,5,4,0-9,0-9
2abu 2il3abid,أبو العبد,أبو العديب,False,13,9,10-19,0-9
2it3an,اطعن,اطعن,True,6,4,0-9,0-9
yqgarmit,يقرمط,يقرمط,True,8,5,0-9,0-9
3iqaab,عقاب,عقاب,True,6,4,0-9,0-9
taajir diin,تاجر دين,طاجر دين,False,11,8,10-19,0-9
nashir,نشر,نشر,True,6,3,0-9,0-9
7allaas,حلاس,حلاس,True,7,4,0-9,0-9
dooshka,دوشكة,دوشك,False,7,5,0-9,0-9
tlaakam,تلاكم,تلاكم,True,7,5,0-9,0-9
tsalla7,تسلح,تسلح,True,7,4,0-9,0-9
waajih,واجه,واجه,True,6,4,0-9,0-9
saliime,سليمة,سليمة,True,7,5,0-9,0-9
tballat,تبلط,تبلط,True,7,4,0-9,0-9
makhmuu3,مخموع,مخموع,True,8,5,0-9,0-9
mnaa7ara,مناحرة,مناحرة,True,8,6,0-9,0-9
yistaqti3,يستقطع,يستقطع,True,9,6,0-9,0-9
faara,فارة,فارى,False,5,4,0-9,0-9
daris,درس,درس,True,5,3,0-9,0-9
taj7iishe,تجحيشة,تجحيشة,True,9,6,0-9,0-9
saako,ساكو,ساكو,True,5,4,0-9,0-9
sahhi,سهي,سهي,True,5,3,0-9,0-9
yushnuf,يشنف,يشنف,True,7,4,0-9,0-9
2aqzaam,أقزام,أقزام,True,7,5,0-9,0-9
2itma3,اطمع,اطمع,True,6,4,0-9,0-9
talle,طلة,طلة,True,5,3,0-9,0-9
na7iib,نحيب,نحيب,True,6,4,0-9,0-9
yistab3id,يستبعد,يستبعد,True,9,6,0-9,0-9
yitqattab,يتقطب,يتقطب,True,9,5,0-9,0-9
taqqi3,طقع,طقع,True,6,3,0-9,0-9
muna 3eeni,منى عيني,من عينة,False,10,8,10-19,0-9
2indah,انده,انده,True,6,4,0-9,0-9
saffit snaan,صفة سنان,سفة سنان,False,12,8,10-19,0-9
baraamij,برامج,برامج,True,8,5,0-9,0-9
zalat,زلط,زلط,True,5,3,0-9,0-9
kimin,كمن,كمن,True,5,3,0-9,0-9
mzakkim,مزكم,مزكم,True,7,4,0-9,0-9
doorit 2il7araami,دورة الحرامي,دورة الحمارة,False,17,12,10-19,10-19
tghaafal,تغافل,تغافل,True,8,5,0-9,0-9
2itbarbadj,اتبربج,اتبربج,True,10,6,10-19,0-9
shumbur,شنبر,شمبر,False,7,4,0-9,0-9
2itsakhmat,اتسخمط,اتسخمط,True,10,6,10-19,0-9
daqam,دقم,دقم,True,5,3,0-9,0-9
lusum,لثم,لصم,False,5,3,0-9,0-9
qita3,قطع,قطع,True,5,3,0-9,0-9
2a3idj,أعج,أعج,True,6,3,0-9,0-9
raqa3at di7ke,رقعت ضحكة,رقعت ضحيك,False,13,9,10-19,0-9
ba3aabiiz,بعابيز,بعابيذ,False,9,6,0-9,0-9
yba7liq,يبحلق,يبحلق,True,7,5,0-9,0-9
barduh,برضه,برده,False,6,4,0-9,0-9
2istirjaal,استرجال,استرجال,True,10,7,10-19,0-9
maqaas,مقاس,مقاس,True,6,4,0-9,0-9
yin7aqq,ينحق,ينحق,True,7,4,0-9,0-9
haziime,هزيمة,هزيمة,True,7,5,0-9,0-9
t7arqas,تحرقص,تحرقص,True,7,5,0-9,0-9
maa3uun,ماعون,ماعون,True,7,5,0-9,0-9
shala3,شلع,شلع,True,6,3,0-9,0-9
mqattish,مقطش,مقطش,True,8,4,0-9,0-9
ydharri,يذري,يدهري,False,7,4,0-9,0-9
shalfat,شلفط,شلفط,True,7,4,0-9,0-9
msannim,مصنم,مسنم,False,7,4,0-9,0-9
yrattib,يرطب,يرطب,True,7,4,0-9,0-9
ysarri3,يسرع,يسرع,True,7,4,0-9,0-9
ma7juur,محجور,محجور,True,7,5,0-9,0-9
2istaghmaq,استغمق,استغمق,True,10,6,10-19,0-9
2amin,أمن,أمن,True,5,3,0-9,0-9
2itmahhal,اتمهل,اتمهل,True,9,5,0-9,0-9
yidghash,يدغش,يدغش,True,8,4,0-9,0-9
ysaffif,يصفف,يصففف,False,7,4,0-9,0-9
zihiq,زهق,زهق,True,5,3,0-9,0-9
2ifzi3,افزع,افزع,True,6,4,0-9,0-9
2a7sa,أحصى,أحسى,False,5,4,0-9,0-9
yijbid,يجبد,يجبد,True,6,4,0-9,0-9
yza7liq,يزحلق,يزحلق,True,7,5,0-9,0-9
2irdi,ارضي,ارضي,True,5,4,0-9,0-9
2akhad maddo,أخذ مجده,أخذ مده,False,12,8,10-19,0-9
lattaaye,لطاية,لطاية,True,8,5,0-9,0-9
faatak nuss 3umrak,فاتك نص عمرك,فاتك نسم عرك,False,18,12,10-19,10-19
smaat,سماط,سماط,True,5,4,0-9,0-9
sa3aq,صعق,سعق,False,5,3,0-9,0-9
shaaliish,شاليش,شاليش,True,9,5,0-9,0-9
2istaysar,استيسر,استيسر,True,9,6,0-9,0-9
ra7ra7,رحرح,رحرح,True,6,4,0-9,0-9
marsuum,مرسوم,مرصوم,False,7,5,0-9,0-9
mdja3rin,مجعرن,مجعرن,True,8,5,0-9,0-9
yil7im,يلحم,يلحم,True,6,4,0-9,0-9
yit7ammas,يتحمس,يتحمس,True,9,5,0-9,0-9
tamhiidi,تمهيدي,تمهيد,False,8,6,0-9,0-9
fuqur,فقر,فقر,True,5,3,0-9,0-9
3ama,عمى,عمى,True,4,3,0-9,0-9
shaambo,شامبو,شامبو,True,7,5,0-9,0-9
2inshall,انشل,انشل,True,8,4,0-9,0-9
yitjaazab,يتجاذب,يتجاذب,True,9,6,0-9,0-9
yitmassad,يتمسد,يتمسد,True,9,5,0-9,0-9
yithaddam,يتهضم,يتهضم,True,9,5,0-9,0-9
mbawwim,مبوم,مبوم,True,7,4,0-9,0-9
yrakhrikh,يرخرخ,يرخرخ,True,9,5,0-9,0-9
tlaasha,تلاشى,تلاشى,True,7,5,0-9,0-9
haddi,هدي,هدي,True,5,3,0-9,0-9
yuhjur,يهجر,يهجر,True,6,4,0-9,0-9
7atta,حتى,حطة,False,5,3,0-9,0-9
bardaan,بردان,بردان,True,7,5,0-9,0-9
2imtadd,امتد,امتد,True,7,4,0-9,0-9
7ashsha,حشى,حشى,True,7,3,0-9,0-9
2unqul,انقل,انقل,True,6,4,0-9,0-9
2inkashaf,انكشف,انكشف,True,9,5,0-9,0-9
see3a,ساعة,سيعة,False,5,4,0-9,0-9
mikniz,مكنز,مكنز,True,6,4,0-9,0-9
gharrab,غرب,غرب,True,7,3,0-9,0-9
balaabil,بلابل,بلابل,True,8,5,0-9,0-9
sajan,سجن,سجن,True,5,3,0-9,0-9
m7azziz,محزز,محزز,True,7,4,0-9,0-9
khadaar,خضار,خضار,True,7,4,0-9,0-9
2itwa77ash,اتوحش,اتوحش,True,10,5,10-19,0-9
faaz,فاز,فاز,True,4,3,0-9,0-9
2istabar,اصطبر,استبر,False,8,5,0-9,0-9
barra2,برأ,برأ,True,6,3,0-9,0-9
2ishbih,اشبه,اشبه,True,7,4,0-9,0-9
tawaafiir,طوافير,توافير,False,9,6,0-9,0-9
yda3bil,يدعبل,يدعبل,True,7,5,0-9,0-9
y7azzif,يحذف,يحذف,True,7,4,0-9,0-9
yiddalda2,يتدلدق,يتدلدق,True,9,6,0-9,0-9
tballak,تبلك,تبلك,True,7,4,0-9,0-9
saqal,صقل,سقل,False,5,3,0-9,0-9
duuj,ضوج,دوج,False,4,3,0-9,0-9
fiid,فيد,فيد,True,4,3,0-9,0-9
za7me,زحمة,زحمة,True,5,4,0-9,0-9
ghutt,غط,غط,True,5,2,0-9,0-9
y7ajjir,يحجر,يحجر,True,7,4,0-9,0-9
2istiqraar,استقرار,استقرار,True,10,7,10-19,0-9
bawaa3iid,بواعيض,بواعيد,False,9,6,0-9,0-9
yistahdi,يستهدي,يستهدي,True,8,6,0-9,0-9
2i3tibaar,اعتبار,اعتبار,True,9,6,0-9,0-9
sharqi,شرقي,شرقي,True,6,4,0-9,0-9
2istaqbal,استقبل,استقبل,True,9,6,0-9,0-9
kharraf,خرف,خرف,True,7,3,0-9,0-9
3ashshim,عشم,عشم,True,8,3,0-9,0-9
sallakh,سلخ,سلخ,True,7,3,0-9,0-9
2itmaswa3,اتمصوع,اتمصوع,True,9,6,0-9,0-9
2inshi2,انشئ,انشئ,True,7,4,0-9,0-9
yistakfi,يستكفي,يستكفي,True,8,6,0-9,0-9
tahliil,تهليل,تهليل,True,7,5,0-9,0-9
3aqil 2irra7maan,عقل الرحمن,عقل الرحمانا,False,16,10,10-19,10-19
yinqasa3,ينقصع,ينقصع,True,8,5,0-9,0-9
y3abbir,يعبر,يعبر,True,7,4,0-9,0-9
baali3 raadyo,بالع راديو,بالعلي عرضه,False,13,10,10-19,10-19
yitshajja3,يتشجع,يتشجع,True,10,5,10-19,0-9
2i3tidi,اعتدي,اعتدي,True,7,5,0-9,0-9
mazluum,مظلوم,مزلوم,False,7,5,0-9,0-9
2antaj,أنتج,أنتج,True,6,4,0-9,0-9
ta7jiim,تحجيم,تحجيم,True,7,5,0-9,0-9
yinbilif,ينبلف,ينبلف,True,8,5,0-9,0-9
yinqaal,ينقال,ينقال,True,7,5,0-9,0-9
raafaq,رافق,رافق,True,6,4,0-9,0-9
mukhkho qkundara,مخه قندرة,مخه قندره,False,16,9,10-19,0-9
saalik,سالك,سالك,True,6,4,0-9,0-9
yitsawwaq,يتسوق,يتسوق,True,9,5,0-9,0-9
7alfash,حلفش,حلفش,True,7,4,0-9,0-9
yij3as,يجعص,يجعص,True,6,4,0-9,0-9
bsaa3,بساع,بصاع,False,5,4,0-9,0-9
